,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,WHO Region
140,Cyprus,Asia,1208238,1208,,19.0,,856.0,,333.0,,216597.0,Europe
141,Georgia,Asia,3988368,1206,,17.0,,987.0,,202.0,,240473.0,Europe
142,Burkina Faso,Africa,20954852,1158,,54.0,,961.0,,143.0,,,Africa
143,Niger,Africa,24281433,1153,,69.0,,1057.0,,27.0,,9052.0,Africa
144,Togo,Africa,8296582,1012,,22.0,,697.0,,293.0,2.0,45767.0,Africa
145,Syria,Asia,17539600,999,,48.0,,311.0,,640.0,,,EasternMediterranean
146,Jamaica,North America,2962478,958,30.0,12.0,,745.0,,201.0,,41840.0,Americas
147,Malta,Europe,441663,946,,9.0,,670.0,,267.0,,136713.0,Europe
148,Andorra,Europe,77278,944,,52.0,,828.0,,64.0,1.0,3750.0,Europe
149,Chad,Africa,16467965,942,,76.0,,838.0,,28.0,,,Africa
150,Gambia,Africa,2422754,935,,16.0,,136.0,,783.0,,5183.0,Africa
151,Sao Tome and Principe,Africa,219544,878,,15.0,,797.0,,66.0,,3079.0,Africa
152,Botswana,Africa,2356075,804,,2.0,,63.0,,739.0,1.0,68423.0,Africa
153,Bahamas,North America,393616,761,,14.0,,91.0,,656.0,1.0,4814.0,Americas
154,Vietnam,Asia,97425470,747,,10.0,,392.0,,345.0,,482456.0,WesternPacific
155,Lesotho,Africa,2143943,742,,23.0,,175.0,,544.0,,8771.0,Africa
156,San Marino,Europe,33938,699,,42.0,,657.0,,0.0,,6068.0,Europe
157,Réunion,Africa,895952,671,,5.0,,592.0,,74.0,3.0,35419.0,
158,Channel Islands,Europe,174022,597,,47.0,,533.0,,17.0,,30721.0,
159,Guyana,South America,786936,538,,22.0,,189.0,,327.0,2.0,5165.0,Americas
160,Tanzania,Africa,59886383,509,,21.0,,183.0,,305.0,7.0,,Africa
161,Taiwan,Asia,23821199,477,,7.0,,443.0,,27.0,,82737.0,WesternPacific
162,Comoros,Africa,871326,396,,7.0,,340.0,,49.0,,,Africa
